City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,George Town,MY,87.89,few clouds,5.4112,100.3354,Cititel Penang
12,Cabo San Lucas,MX,83.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
15,Waingapu,ID,86.79,few clouds,-9.6567,120.2641,Pondok Wisata Elim
17,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
26,Marawi,PH,85.5,overcast clouds,7.9986,124.2928,Derogongan Residence
27,Kahului,US,82.42,clear sky,20.8947,-156.47,Maui Seaside Hotel
28,Phek,IN,77.77,scattered clouds,25.6667,94.5,Prayer Centre
35,Matara,LK,82.06,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
39,Khandyga,RU,80.06,scattered clouds,62.6667,135.6,Apel'sin
40,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
43,Meulaboh,ID,83.84,overcast clouds,4.1363,96.1285,Kost Pria
46,Hilo,US,76.8,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
47,Hithadhoo,MV,81.34,overcast clouds,-0.6,73.0833,Scoop Guest House
48,Alibunar,RS,80.55,overcast clouds,45.0808,20.9658,Restoran Grand sa Prenoćištem
50,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
56,Buraidah,SA,81.05,clear sky,26.326,43.975,فندق راحة السلام
57,Butaritari,KI,82.6,few clouds,3.0707,172.7902,Isles Sunset Lodge
59,Atuona,PF,77.79,clear sky,-9.8,-139.0333,Villa Enata
60,Hong Kong,HK,85.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
62,Sarkand,KZ,78.64,broken clouds,45.41,79.9186,Гостиница Сарканд
69,Bandarbeyla,SO,79.83,scattered clouds,9.4942,50.8122,JABIR HOTEL
75,Namatanai,PG,84.72,light rain,-3.6667,152.4333,Seagulls Inn Namatani
78,Ugoofaaru,MV,81.93,overcast clouds,5.6667,73.0,Ungoofaaru Inn
82,Bengkulu,ID,81.99,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
83,Naze,JP,85.12,scattered clouds,28.3667,129.4833,Amami Port Tower Hotel
87,Bilma,NE,89.65,clear sky,18.6853,12.9164,Expeditions Ténére voyages
90,Merauke,ID,79.97,broken clouds,-8.4667,140.3333,
94,Itarema,BR,76.46,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
